hotel_name,destination,price_per_night
Mountain View Resort,Manali,2500
River Side Hotel,Manali,1800
Valley Retreat,Manali,3500
Snow Peak Inn,Manali,1200
Apple Orchard Stay,Manali,2000
Himalayan Heights,Manali,4000
Pine Forest Lodge,Shimla,2200
Oberoi Cecil,Shimla,8000
Wildflower Hall,Shimla,12000
Shimla Greens,Shimla,1500
Tara Guest House,Shimla,900
Dhauladhar View,Dharamshala,1800
Hotel Tibet,Dharamshala,2500
Norling Retreat,Dharamshala,3500
Moonpeak Hotel,Dharamshala,2800
Green Valley Resort,Dharamshala,2000
Dalhousie Heights,Dalhousie,2200
Potter's Hill,Dalhousie,1900
Grand View Hotel,Dalhousie,3000
Kasauli Castle,Kasauli,2500
Baikunth Resort,Kasauli,3200
Monkey Point Inn,Kasauli,1500
Bir Billing Stay,Bir,1200
Paraglider's Nest,Bir,1800
Tirthan Valley Retreat,Tirthan,2000
Great Himalayan Lodge,Tirthan,3500
Chamba Palace,Chamba,4000
Bharmour Inn,Chamba,1500
Khajjiar Meadows,Khajjiar,2500
Golden Devi Hotel,Khajjiar,1800
Palampur Tea Estate,Palampur,2200
Neugal Cafe Stay,Palampur,1200
Kangra Fort View,Kangra,1500
Jwalamukhi Temple Stay,Kangra,1000
Solan Brewery Guesthouse,Solan,1300
Shoolini View,Solan,1600
Mandi Riverside,Mandi,1400
Rewalsar Lake View,Mandi,1800
