city,name,price,rating,amenities_score,popularity_score,location,room_types,breakfast_included,free_cancellation
Shimla,The Oberoi Cecil,4500,4.7,9,95,"Near The Mall",Deluxe|Suite,True,True
Shimla,Hotel Willow Banks,3200,4.3,7,88,"Lakkar Bazaar",Standard|Deluxe,True,True
Shimla,Clarkes Hotel,3800,4.5,8,92,"The Mall Road",Superior|Suite,True,False
Shimla,Hotel Combermere,2900,4.1,7,85,"Chaura Maidan",Standard|Deluxe,True,True
Shimla,Woodville Palace,5200,4.8,9,96,"Raj Bhawan Road",Heritage|Suite,True,True
Shimla,East Bourne Resort,3500,4.4,8,89,"Summer Hill",Cottage|Villa,True,False
Shimla,Hotel De Park,2500,4.0,6,82,"Lakkar Bazaar",Standard,False,False
Shimla,Radisson Shimla,4800,4.7,9,94,"Chotta Shimla",Deluxe|Executive,True,True
Shimla,Hotel Himland,2200,3.9,6,80,"The Mall",Standard,False,True
Shimla,Marigold Sarovar,4100,4.6,8,91,"Chaura Maidan",Premium|Suite,True,True
Manali,The Himalayan,5000,4.8,9,96,"Old Manali",Cottage|Suite,True,True
Manali,Apple Country Resort,2800,4.2,7,85,"Aleo",Standard|Deluxe,False,True
Manali,Hotel Snow Valley,3500,4.4,8,89,"Mall Road",Deluxe|Family,True,False
Manali,Johnson Lodge,3200,4.3,7,87,"Circuit House Road",Standard|Deluxe,True,True
Manali,Orchid Greens,3900,4.5,8,90,"Prini",Cottage|Villa,True,True
Manali,Shivadya Resort,4200,4.6,8,92,"Aleo",Deluxe|Suite,True,False
Manali,Hotel Himgiri,2600,4.1,7,84,"Mall Road",Standard,True,True
Manali,The Manali Inn,3000,4.2,7,86,"Model Town",Deluxe,False,True
Manali,Snow Crest,3700,4.5,8,89,"Old Manali",Wooden Cottage,True,False
Manali,Royal Park,4500,4.7,9,93,"Log Huts Area",Suite|Family,True,True
Dharamshala,Fortune Park,4200,4.6,8,93,"Mcleodganj",Deluxe|Executive,True,True
Dharamshala,HPTDC Hotel Bhagsu,1800,3.9,6,78,"Bhagsu Nag",Standard,False,False
Dharamshala,Hotel Tibet,2500,4.1,7,82,"Mcleodganj",Standard|Deluxe,True,True
Dharamshala,Green Hotel,2900,4.2,7,84,"Bhagsu Road",Eco|Deluxe,True,True
Dharamshala,Hotel Dhauladhar,3500,4.4,8,88,"Kotwali Bazaar",Premium|Suite,True,False
Dharamshala,Blossom Village,2300,4.0,6,81,"Mcleodganj",Standard|Cottage,False,True
Dharamshala,Peace Hotel,2700,4.1,7,83,"Dharamkot",Standard|Deluxe,True,False
Dharamshala,Hotel Moonpeak,3100,4.3,7,85,"Jogibara Road",Deluxe,True,True
Dharamshala,Clouds End Villa,3800,4.5,8,89,"Naddi Village",Villa|Suite,True,True
Dharamshala,Hotel Pink House,2000,3.8,6,77,"Mcleodganj",Standard,False,False
Dalhousie,Grand View Hotel,4000,4.5,8,91,"Gandhi Chowk",Deluxe|Suite,True,True
Dalhousie,Hotel Mount View,2200,4.0,6,80,"Subhash Chowk",Standard,False,False
Dalhousie,Hotel Dalhousie,2800,4.2,7,84,"Subhash Chowk",Deluxe,True,True
Dalhousie,Hotel Aroma Palace,3500,4.4,8,88,"Gandhi Chowk",Premium|Suite,True,False
Dalhousie,Hotel Holiday Home,2400,4.1,7,83,"Khyber Road",Standard|Deluxe,False,True
Dalhousie,Hotel President,3200,4.3,7,86,"GPO Road",Deluxe,True,True
Dalhousie,Hotel Pine View,1900,3.9,6,79,"Khyber Road",Standard,False,False
Dalhousie,Hotel Snow Crest,4100,4.6,8,92,"Bakrota Hills",Suite|Villa,True,True
